ECU0: LK, ECU0: CC, ECU0: SENSING
7300, ECU0: CC, 0
7310, ECU0: LK, 0
7320, ECU0: CC, 1
7330, ECU0: CC, 0
7330, ECU0: LK, 1
7350, ECU0: CC, 1
7360, ECU0: CC, 0
7370, ECU0: LK, 0
7380, ECU0: CC, 1
7250, ECU0: SENSING, 1
7260, ECU0: SENSING, 0
7310, ECU0: SENSING, 1
7320, ECU0: SENSING, 0
7390, ECU0: CC, 0
7390, ECU0: LK, 1
7410, ECU0: CC, 1
7420, ECU0: CC, 0
7430, ECU0: LK, 0
7430, ECU0: SENSING, 1
7440, ECU0: CC, 1
7440, ECU0: SENSING, 0
7450, ECU0: CC, 0
7450, ECU0: LK, 1
7470, ECU0: CC, 1
7480, ECU0: CC, 0
7490, ECU0: LK, 0
7500, ECU0: CC, 1
7510, ECU0: CC, 0
7510, ECU0: LK, 1
7530, ECU0: CC, 1
7540, ECU0: CC, 0
7550, ECU0: LK, 0
7560, ECU0: CC, 1
7570, ECU0: CC, 0
7570, ECU0: LK, 1
7590, ECU0: CC, 1
7600, ECU0: CC, 0
7610, ECU0: LK, 0
7620, ECU0: CC, 1
7630, ECU0: CC, 0
7630, ECU0: LK, 1
7650, ECU0: CC, 1
7660, ECU0: CC, 0
7670, ECU0: LK, 0
7680, ECU0: CC, 1
7550, ECU0: SENSING, 1
7560, ECU0: SENSING, 0
7610, ECU0: SENSING, 1
7620, ECU0: SENSING, 0
7690, ECU0: CC, 0
7690, ECU0: LK, 1
7710, ECU0: CC, 1
7720, ECU0: CC, 0
7730, ECU0: LK, 0
7730, ECU0: SENSING, 1
7740, ECU0: CC, 1
7740, ECU0: SENSING, 0
7750, ECU0: CC, 0
7750, ECU0: LK, 1
7770, ECU0: CC, 1
7780, ECU0: CC, 0
7790, ECU0: LK, 0
7800, ECU0: CC, 1
7810, ECU0: CC, 0
7810, ECU0: LK, 1
7830, ECU0: CC, 1
7840, ECU0: CC, 0
7850, ECU0: LK, 0
7860, ECU0: CC, 1
7870, ECU0: CC, 0
7870, ECU0: LK, 1
7890, ECU0: CC, 1
7900, ECU0: CC, 0
7910, ECU0: LK, 0
7920, ECU0: CC, 1
7930, ECU0: CC, 0
7930, ECU0: LK, 1
7950, ECU0: CC, 1
7960, ECU0: CC, 0
7970, ECU0: LK, 0
7980, ECU0: CC, 1
7850, ECU0: SENSING, 1
7860, ECU0: SENSING, 0
7910, ECU0: SENSING, 1
7920, ECU0: SENSING, 0
7990, ECU0: CC, 0
7990, ECU0: LK, 1
8010, ECU0: CC, 1
8020, ECU0: CC, 0
8030, ECU0: LK, 0
8030, ECU0: SENSING, 1
8040, ECU0: CC, 1
8040, ECU0: SENSING, 0
8050, ECU0: CC, 0
